'Edit','Editar'
'Save','Guardar'
'Delete','Eliminar'
'Employee view','Vista de empleado'
'Employee edited successfully','Empleado editado exitosamente'
'Employee added successfully','Empleado añadido exitosamente'
'Employee not exist','Empleado no existe'
'Edit employee','Editar empleado'
'Add employee','Añadir empleado'
'The average age is %1','La edad promedio es %1'
'Are you sure to remove %1?','¿Estás seguro de eliminar %1?'
'Name','Nombre'
'Lastname','Apellido'
'Birthdate','Fecha de nacimiento'
'Age','Edad'
'Phone','Teléfono'
'Address','Dirección'
'Civil status','Estado civil'
'Health insurance','Obra social'
'Hire date','Fecha de contratación'
'Egress date','Fecha de egreso'
'Job','Puesto'
'Specialty','Especialidad'
'Seniority','Nivel'
'Academic training','Formación académica'
'Contract','Contrato'
'Workload','Carga de trabajo'
'Vacation days','Días de vacaciones'
